SpeciesCode,CommonName,Phylum,SpeciesClass,SpeciesOrder,SpeciesFamily,SpeciesSubFamily,GenusSpecies,SpeciesCategory
174,"Trout,Brown",Chordata,Osteichthyes (Actinopterygii),Salmoniformes,Salmonidae,,Salmo trutta,
175,"Trout,Rainbow",Chordata,Osteichthyes (Actinopterygii),Salmoniformes,Salmonidae,,Onchorhyncus mykiss,
176,Char (NS),Chordata,Osteichthyes (Actinopterygii),Salmoniformes,Salmonidae,,Salvelinus  sp.,
177,Arctic Char,Chordata,Osteichthyes (Actinopterygii),Salmoniformes,Salmonidae,,Salvelinus alpinus,
178,"Trout,Brook",Chordata,Osteichthyes (Actinopterygii),Salmoniformes,Salmonidae,,Salvelinus fontinalis,
186,"Smelts,Capelin (NS)",Chordata,Osteichthyes (Actinopterygii),Osmeriformes,Osmeridae,,,
187,Capelin,Chordata,Osteichthyes (Actinopterygii),Osmeriformes,Osmeridae,,Mallotus villosus,
188,"Smelt,Rainbow",Chordata,Osteichthyes (Actinopterygii),Osmeriformes,Osmeridae,,Osmerus mordax,
192,Argentines (NS),Chordata,Osteichthyes (Actinopterygii),Osmeriformes,Argentinidae,,,
199,"Smelts,Deepsea (NS)",Chordata,Osteichthyes (Actinopterygii),Osmeriformes,Bathylagidae,,,
205,Lightfishes (Anglemouth) (NS),Chordata,Osteichthyes (Actinopterygii),Stomiiformes,Gonostomatidae,,,
220,Hatchetfishes (NS),Chordata,Osteichthyes (Actinopterygii),Stomiiformes,Sternoptychidae,Sternoptychinae,,
226,Viperfishes (NS),Chordata,Osteichthyes (Actinopterygii),Stomiiformes,Stomiidae,Chauliodontinae,,
229,"Dragonfish,Scaled (Boa) (NS)",Chordata,Osteichthyes (Actinopterygii),Stomiiformes,Stomiidae,Stomiinae,,
232,Dragonfish (Snaggletooth) (NS),Chordata,Osteichthyes (Actinopterygii),Stomiiformes,Stomiidae,Astronesthinae,,
237,"Dragonfish,Smooth (NS)",Chordata,Osteichthyes (Actinopterygii),Stomiiformes,Stomiidae,Melanostomiinae,,
245,Sawtailfishes (NS),Chordata,Osteichthyes (Actinopterygii),Stomiiformes,Stomiidae,Idiacanthinae,,
250,Daggertooth,Chordata,Osteichthyes (Actinopterygii),Aulopiformes,Paralepididae,,Anotopterus pharao,
272,Lanternfishes (NS),Chordata,Osteichthyes (Actinopterygii),Myctophiformes,Myctophidae,,,
300,Pearleyes (NS),Chordata,Osteichthyes (Actinopterygii),Aulopiformes,Notosudidae,,,
303,Loosejaws (NS),Chordata,Osteichthyes (Actinopterygii),Stomiiformes,Stomiidae,Malacosteinae,,
306,Feelerfishes (NS),Chordata,Osteichthyes (Actinopterygii),Aulopiformes,Ipnopidae,,,
309,Lizardfishes (NS),Chordata,Osteichthyes (Actinopterygii),Aulopiformes,Synodontidae,,,
316,Barracudinas (NS) *Includes Scaled Lancetfish,Chordata,Osteichthyes (Actinopterygii),Aulopiformes,Paralepididae,,,
323,Lancetfishes (NS),Chordata,Osteichthyes (Actinopterygii),Aulopiformes,Alepisauridae,,,
324,"Lancetfish, Shortnosed",Chordata,Osteichthyes (Actinopterygii),Aulopiformes,Alepisauridae,,Alepisaurus brevirostis,
325,"Lancetfish,Longnose",Chordata,Osteichthyes (Actinopterygii),Aulopiformes,Alepisauridae,,Alepisaurus ferox,
327,Greeneyes (NS),Chordata,Osteichthyes (Actinopterygii),Aulopiformes,Chlorophthalamidae,,,
340,Eel (NS),Chordata,Osteichthyes (Actinopterygii),Anguilliformes,,,,
342,"Eel,American",Chordata,Osteichthyes (Actinopterygii),Anguilliformes,Anguillidae,,Anguilla rostrata,
344,"Eel,Moray (NS)",Chordata,Osteichthyes (Actinopterygii),Anguilliformes,Muraenidae,,,
348,"Eel, Snake (NS)",Chordata,Osteichthyes (Actinopterygii),Anguilliformes,Ophichthidae,,,
359,"Eel, Snubnose (NS)",Chordata,Osteichthyes (Actinopterygii),Anguilliformes,Synaphobranchidae,Simenchelyinae,Simenchelys parasiticus,
362,"Eel, Conger",Chordata,Osteichthyes (Actinopterygii),Anguilliformes,Congridae,,Conger oceanicus,
364,"Eel, Longneck (Duckbill) (NS)",Chordata,Osteichthyes (Actinopterygii),Anguilliformes,Derichthyidae,,,
367,"Eel,Snipe (NS)",Chordata,Osteichthyes (Actinopterygii),Anguilliformes,Nemichthyidae,,,
368,"Eel,Slender Snipe",Chordata,Osteichthyes (Actinopterygii),Anguilliformes,Nemichthyidae,,Nemichthys scolopaceus,
369,"Eel,Shortnose Snipe",Chordata,Osteichthyes (Actinopterygii),Anguilliformes,Nemichthyidae,,Serrivomer beani,
373,"Eel,Longnose",Chordata,Osteichthyes (Actinopterygii),Anguilliformes,Synaphobranchidae,Synaphobranchinae,Synaphobranchus kaupi,
378,"Eel,Gulper (NS)",Chordata,Osteichthyes (Actinopterygii),Saccopharyngiformes,Saccopharyngidae,,,
382,"Gulper,Pelican",Chordata,Osteichthyes (Actinopterygii),Saccopharyngiformes,Eupharyngidae,,Eurypharynx pelecanoides,
385,Spiny Eels (NS) (Tapirfishes),Chordata,Osteichthyes (Actinopterygii),Notocanthiformes,Notacanthidae,,,
386,"Tapirfish,Large Scale",Chordata,Osteichthyes (Actinopterygii),Notocanthiformes,Notacanthidae,,Notacanthus chemnitzii,
387,"Tapirfish, Shortspine",Chordata,Osteichthyes (Actinopterygii),Notocanthiformes,Notacanthidae,,Polyacanthonotus rissoanus,
391,"Tapirfish, Backfin",Chordata,Osteichthyes (Actinopterygii),Notocanthiformes,Notacanthidae,,Lipogenys gillii,
394,Halosaurus (NS),Chordata,Osteichthyes (Actinopterygii),Notocanthiformes,Halosauridae,,,
398,Saury (Billfish),Chordata,Osteichthyes (Actinopterygii),Beloniformes,Scomberesocidae,,Scomberesox saurus,
400,Halfbeaks (NS),Chordata,Osteichthyes (Actinopterygii),Beloniformes,Hemiramphidae,,,
402,Flyingfishes (NS),Chordata,Osteichthyes (Actinopterygii),Beloniformes,Exocoetidae,,,
422,Sticklebacks (NS),Chordata,Osteichthyes (Actinopterygii),Gasterosteiformes,Gasterosteidae,,,
431,Moras (Blue Hake/Lepidions),Chordata,Osteichthyes (Actinopterygii),Gadiformes,Moridae,,,
432,"Hake,Blue",Chordata,Osteichthyes (Actinopterygii),Gadiformes,Moridae,,Antimora rostrata,
436,Gadoids (NS) Cod-like fish,Chordata,Osteichthyes (Actinopterygii),Gadiformes,Gadidae,,,
438,"Cod,Atlantic",Chordata,Osteichthyes (Actinopterygii),Gadiformes,Gadidae,Gadinae,Gadus morhua,
439,"Cod,Greenland (Rock)",Chordata,Osteichthyes (Actinopterygii),Gadiformes,Gadidae,Gadinae,Gadus ogac,
440,"Whiting,Blue",Chordata,Osteichthyes (Actinopterygii),Gadiformes,Gadidae,Gadinae,Micromesistius poutassou,
441,Haddock,Chordata,Osteichthyes (Actinopterygii),Gadiformes,Gadidae,Gadinae,Melanogrammus aeglefinus,
